DATE,RECPROUSM156N
1967-06-01,0.98
1967-07-01,0.48
1967-08-01,0.06
1967-09-01,0.42
1967-10-01,0.02
1967-11-01,0.0
1967-12-01,0.04
1968-01-01,1.86
1968-02-01,0.2
1968-03-01,0.12
1968-04-01,0.06
1968-05-01,0.0
1968-06-01,0.02
1968-07-01,0.0
1968-08-01,0.08
1968-09-01,0.0
1968-10-01,0.04
1968-11-01,0.0
1968-12-01,0.02
1969-01-01,0.1
1969-02-01,0.02
1969-03-01,0.02
1969-04-01,0.16
1969-05-01,0.08
1969-06-01,0.02
1969-07-01,0.14
1969-08-01,0.48
1969-09-01,4.88
1969-10-01,8.08
1969-11-01,40.48
1969-12-01,45.2
1970-01-01,55.94
1970-02-01,46.56
1970-03-01,47.34
1970-04-01,51.46
1970-05-01,49.04
1970-06-01,46.8
1970-07-01,47.66
1970-08-01,66.72
1970-09-01,81.4
1970-10-01,87.54
1970-11-01,35.88
1970-12-01,0.06
1971-01-01,0.08
1971-02-01,1.46
1971-03-01,0.5
1971-04-01,0.08
1971-05-01,0.02
1971-06-01,0.18
1971-07-01,0.56
1971-08-01,0.32
1971-09-01,0.0
1971-10-01,0.0
1971-11-01,0.0
1971-12-01,0.0
1972-01-01,0.0
1972-02-01,0.04
1972-03-01,0.02
1972-04-01,0.0
1972-05-01,0.04
1972-06-01,0.0
1972-07-01,0.22
1972-08-01,0.0
1972-09-01,0.0
1972-10-01,0.0
1972-11-01,0.0
1972-12-01,0.0
1973-01-01,0.02
1973-02-01,0.0
1973-03-01,0.36
1973-04-01,0.36
1973-05-01,0.18
1973-06-01,0.06
1973-07-01,0.02
1973-08-01,0.12
1973-09-01,0.0
1973-10-01,0.0
1973-11-01,1.04
1973-12-01,39.08
1974-01-01,45.12
1974-02-01,39.72
1974-03-01,36.66
1974-04-01,36.08
1974-05-01,34.3
1974-06-01,47.98
1974-07-01,60.24
1974-08-01,83.92
1974-09-01,88.0
1974-10-01,95.68
1974-11-01,100.0
1974-12-01,100.0
1975-01-01,99.88
1975-02-01,99.82
1975-03-01,93.94
1975-04-01,25.52
1975-05-01,2.96
1975-06-01,0.7
1975-07-01,0.08
1975-08-01,0.0
1975-09-01,0.06
1975-10-01,0.0
1975-11-01,0.02
1975-12-01,0.0
1976-01-01,0.0
1976-02-01,0.02
1976-03-01,0.1
1976-04-01,0.0
1976-05-01,0.06
1976-06-01,0.06
1976-07-01,0.0
1976-08-01,0.0
1976-09-01,0.02
1976-10-01,0.14
1976-11-01,0.0
1976-12-01,0.0
1977-01-01,0.32
1977-02-01,0.02
1977-03-01,0.0
1977-04-01,0.02
1977-05-01,0.02
1977-06-01,0.0
1977-07-01,0.04
1977-08-01,0.06
1977-09-01,0.02
1977-10-01,0.02
1977-11-01,0.06
1977-12-01,0.92
1978-01-01,11.86
1978-02-01,0.04
1978-03-01,0.0
1978-04-01,0.0
1978-05-01,0.28
1978-06-01,0.0
1978-07-01,0.2
1978-08-01,0.02
1978-09-01,0.02
1978-10-01,0.0
1978-11-01,0.0
1978-12-01,0.2
1979-01-01,1.98
1979-02-01,0.86
1979-03-01,1.28
1979-04-01,29.9
1979-05-01,1.56
1979-06-01,1.76
1979-07-01,3.0
1979-08-01,3.48
1979-09-01,2.6
